,point_cloud,EC
0,A1VXS1.txt,5.2.1.8
1,B4F0E9.txt,2.3.1.157
2,Q5LIH9.txt,3.6.1.23
3,Q57CV7.txt,1.7.1.13
4,A8XV40.txt,5.6.1.1
5,Q1MPL4.txt,2.7.1.23
6,B2RJJ6.txt,2.7.1.21
7,Q4ZLU8.txt,5.3.1.6
8,Q5ZUT4.txt,3.5.3.23
9,Q92JA1.txt,3.4.21.107
10,P70665.txt,3.1.1.53
11,O26901.txt,3.6.4.12
12,Q8PIM5.txt,3.1.1.61
13,Q0T2N0.txt,2.6.1.87
14,P23871.txt,4.99.1.1
15,A1WUV1.txt,3.4.11.1
16,Q8L940.txt,4.3.3.6
17,Q02219.txt,1.7.2.1
18,Q05963.txt,1.14.11.9
19,A9R6M9.txt,2.7.2.1
20,Q1RI72.txt,3.1.1.29
21,Q07ZX3.txt,3.6.1.54
22,C1ALD8.txt,6.3.5.3
23,Q9ZMN8.txt,5.3.1.1
24,A7Z7I1.txt,6.1.1.3
25,Q1CK18.txt,3.5.1.18
26,Q5X1S7.txt,1.3.1.98
27,B2K0Z6.txt,5.3.3.8
28,A3DA80.txt,2.1.1.35
29,B5X3C1.txt,3.2.1.46
30,A6QHA6.txt,2.7.4.27
31,B0RIB7.txt,5.3.3.2
32,A8Z5Z0.txt,3.4.21.53
33,P9WQ98.txt,3.5.1.4
34,Q12A33.txt,2.7.4.22
35,Q5L6V2.txt,2.7.7.60
36,O07012.txt,3.2.1.23
37,Q126K0.txt,3.6.5.n1
38,B0SCK5.txt,2.3.1.191
39,B3WEJ2.txt,3.6.4.12
40,Q5E2G0.txt,4.2.3.4
41,Q3Z2L8.txt,3.6.4.12
42,B5R4S6.txt,1.2.1.41
43,Q42523.txt,6.4.1.4
44,P36775.txt,3.4.21.53
45,P67724.txt,2.6.1.9
46,Q9KAT1.txt,1.2.4.2
47,A3PFX4.txt,3.1.26.4
48,A4THU2.txt,4.1.99.12
49,Q08426.txt,1.1.1.35
50,Q9NXZ2.txt,3.6.4.13
51,Q482G5.txt,2.5.1.19
52,Q9SUR6.txt,4.4.1.35
53,C1DNK5.txt,3.5.1.5
54,Q0P5G4.txt,2.6.1.7
55,P65158.txt,4.2.1.9
56,Q3BPD5.txt,6.3.4.21
57,B5FLH8.txt,1.1.1.94
58,Q886P5.txt,2.7.7.59
59,B2S075.txt,6.1.1.14
60,Q0K6N3.txt,7.4.2.8
61,Q2G2K5.txt,3.5.1.5
62,G5EGA6.txt,1.1.1.184
63,B0U3G5.txt,6.1.1.11
64,O29238.txt,5.6.2.2
65,B5YFT8.txt,2.7.8.13
66,A9QYP0.txt,4.1.1.65
67,Q4UNF0.txt,1.7.1.13
68,P54270.txt,1.2.1.12
69,Q0I634.txt,4.2.1.104
70,Q8F746.txt,6.2.1.5
71,A7HU88.txt,3.1.3.77
72,A5N4H7.txt,3.1.3.71
73,A2C9X1.txt,2.2.1.7
74,B7I5A8.txt,3.6.4.12
75,Q6DGK2.txt,1.1.1.27
76,Q9NW08.txt,2.7.7.6
77,B5Y862.txt,4.1.1.11
78,Q1D8K2.txt,6.1.1.10
79,Q1C3L8.txt,2.7.7.8
80,A1A7M7.txt,3.1.26.4
81,P9WKD7.txt,5.3.1.6
82,Q32EX9.txt,2.7.1.59
83,Q9RWR5.txt,2.7.7.101
84,A1WN86.txt,6.1.1.17
85,A6TEK8.txt,2.5.1.7
86,B1XC20.txt,3.4.13.21
87,Q9MAC9.txt,2.7.4.27
88,Q0SGN1.txt,6.1.1.19
89,B1W108.txt,2.5.1.141
90,Q1AVX3.txt,2.4.1.227
91,Q484R7.txt,2.3.1.181
92,Q6LU17.txt,2.1.2.1
93,A4JN03.txt,4.2.1.9
94,A1BJA1.txt,2.3.1.180
95,A7MLY2.txt,2.1.1.33
96,Q9ZMD0.txt,5.4.3.8
97,A7GXK2.txt,1.5.1.5
98,Q254M8.txt,3.1.3.5
99,Q2P9J6.txt,1.3.1.9
100,P07337.txt,3.2.1.21
101,B0BZF9.txt,1.2.1.70
102,A5DB51.txt,2.5.1.9
103,B2RKS6.txt,5.6.1.7
104,Q4FQL0.txt,6.1.1.9
105,A1ISV1.txt,7.4.2.8
106,A1WZ63.txt,3.1.21.10
107,Q82GD0.txt,6.1.1.16
108,Q2NIN4.txt,6.3.4.19
109,Q3IRX3.txt,1.5.1.5
110,Q3Z5J2.txt,2.3.1.117
111,P0ABB7.txt,7.1.2.2
112,Q7M0R2.txt,2.1.1.179
113,Q47GC7.txt,1.2.1.10
114,B8DC84.txt,2.7.8.26
115,B5XJH8.txt,6.3.4.4
116,Q3BV46.txt,2.7.1.23
117,B8M044.txt,3.4.16.5
118,Q32CG3.txt,1.8.1.2
119,Q9PJT7.txt,2.5.1.7
120,O26652.txt,2.5.1.41
121,P70936.txt,2.4.2.18
122,D4GYH3.txt,2.4.1.356
123,A1E9T2.txt,4.1.1.39
124,Q9L4T0.txt,4.4.1.21
125,Q69JN6.txt,2.7.11.1
126,Q9ZCX3.txt,2.5.1.7
127,Q0AIF5.txt,3.4.11.1
128,Q1JAS0.txt,2.7.7.3
129,Q8VUW1.txt,2.1.1.177
130,Q8R882.txt,1.1.1.23
131,Q2VST0.txt,3.2.1.14
132,Q9JYF4.txt,2.1.1.242
133,Q04KB1.txt,3.1.11.6
134,B9DSL8.txt,4.2.1.8
135,Q39I75.txt,3.6.5.n1
136,Q6DFR2.txt,2.3.2.27
137,P23722.txt,1.2.1.12
138,Q7TW97.txt,4.1.3.39
139,C5B7R4.txt,2.3.3.13
140,B7I4X8.txt,5.2.1.8
