protein,EC,point_cloud
P07327,1.1.1.1,P07327.txt
P25405,1.1.1.1,P25405.txt
P00326,1.1.1.1,P00326.txt
P80222,1.1.1.1,P80222.txt
P06525,1.1.1.1,P06525.txt
P43067,1.1.1.1,P43067.txt
P48814,1.1.1.1,P48814.txt
P86883,1.1.1.1,P86883.txt
P48586,1.1.1.1,P48586.txt
P07161,1.1.1.1,P07161.txt
Q64413,1.1.1.1,Q64413.txt
P05336,1.1.1.1,P05336.txt
P00333,1.1.1.1,P00333.txt
P80512,1.1.1.1,P80512.txt
Q2R8Z5,1.1.1.1,Q2R8Z5.txt
P41680,1.1.1.1,P41680.txt
Q03505,1.1.1.1,Q03505.txt
P80338,1.1.1.1,P80338.txt
Q07264,1.1.1.1,Q07264.txt
O94038,1.1.1.1,O94038.txt
Q70UP6,1.1.1.1,Q70UP6.txt
P23237,1.1.1.1,P23237.txt
P07160,1.1.1.1,P07160.txt
P54202,1.1.1.1,P54202.txt
P10847,1.1.1.1,P10847.txt
P04707,1.1.1.1,P04707.txt
O13309,1.1.1.1,O13309.txt
F2Z678,1.1.1.1,F2Z678.txt
P0DJA2,1.1.1.1,P0DJA2.txt
P10848,1.1.1.1,P10848.txt
P07246,1.1.1.1,P07246.txt
A6ZTT5,1.1.1.1,A6ZTT5.txt
P38113,1.1.1.1,P38113.txt
Q5R7Z8,1.1.1.1,Q5R7Z8.txt
Q64437,1.1.1.1,Q64437.txt
P9WQC1,1.1.1.1,P9WQC1.txt
P9WQC6,1.1.1.1,P9WQC6.txt
P9WQB9,1.1.1.1,P9WQB9.txt
P0A9Q7,1.1.1.1,P0A9Q7.txt
Q9SK86,1.1.1.1,Q9SK86.txt
Q8VZ49,1.1.1.1,Q8VZ49.txt
Q9FH04,1.1.1.1,Q9FH04.txt
O46649,1.1.1.1,O46649.txt
Q3ZC42,1.1.1.1,Q3ZC42.txt
P46415,1.1.1.1,P46415.txt
P93629,1.1.1.1,P93629.txt
P81431,1.1.1.1,P81431.txt
P80572,1.1.1.1,P80572.txt
P80467,1.1.1.1,P80467.txt
Q9NAR7,1.1.1.1,Q9NAR7.txt
Q00669,1.1.1.1,Q00669.txt
Q50L96,1.1.1.1,Q50L96.txt
Q9NG42,1.1.1.1,Q9NG42.txt
P51551,1.1.1.1,P51551.txt
P21898,1.1.1.1,P21898.txt
Q27404,1.1.1.1,Q27404.txt
Q09010,1.1.1.1,Q09010.txt
P25721,1.1.1.1,P25721.txt
P84328,1.1.1.1,P84328.txt
P23277,1.1.1.1,P23277.txt
Q9GN94,1.1.1.1,Q9GN94.txt
Q03384,1.1.1.1,Q03384.txt
B4M8Y0,1.1.1.1,B4M8Y0.txt
P17648,1.1.1.1,P17648.txt
P9WQC2,1.1.1.1,P9WQC2.txt
P25988,1.1.1.1,P25988.txt
Q2FJ31,1.1.1.1,Q2FJ31.txt
Q5HI63,1.1.1.1,Q5HI63.txt
Q6GJ63,1.1.1.1,Q6GJ63.txt
Q5HRD6,1.1.1.1,Q5HRD6.txt
P50381,1.1.1.1,P50381.txt
P76553,1.1.1.1,P76553.txt
A7ZIA4,1.1.1.1,A7ZIA4.txt
A1A835,1.1.1.1,A1A835.txt
B1J085,1.1.1.1,B1J085.txt
Q1RFI7,1.1.1.1,Q1RFI7.txt
Q3Z550,1.1.1.1,Q3Z550.txt
N4WE73,1.1.1.1,N4WE73.txt
P33010,1.1.1.1,P33010.txt
Q6AZW2,1.1.1.2,Q6AZW2.txt
Q04894,1.1.1.2,Q04894.txt
P74721,1.1.1.2,P74721.txt
P0CH37,1.1.1.2,P0CH37.txt
P9WQC5,1.1.1.2,P9WQC5.txt
Q5ZK84,1.1.1.2,Q5ZK84.txt
Q9JII6,1.1.1.2,Q9JII6.txt
P51635,1.1.1.2,P51635.txt
