point_cloud,EC
P07327.txt,1.1.1.1
P25405.txt,1.1.1.1
P00326.txt,1.1.1.1
P80222.txt,1.1.1.1
P06525.txt,1.1.1.1
P43067.txt,1.1.1.1
P48814.txt,1.1.1.1
P86883.txt,1.1.1.1
P48586.txt,1.1.1.1
P07161.txt,1.1.1.1
Q64413.txt,1.1.1.1
P05336.txt,1.1.1.1
P00333.txt,1.1.1.1
P80512.txt,1.1.1.1
Q2R8Z5.txt,1.1.1.1
P41680.txt,1.1.1.1
Q03505.txt,1.1.1.1
P80338.txt,1.1.1.1
Q07264.txt,1.1.1.1
O94038.txt,1.1.1.1
Q70UP6.txt,1.1.1.1
P23237.txt,1.1.1.1
P07160.txt,1.1.1.1
P54202.txt,1.1.1.1
P10847.txt,1.1.1.1
P04707.txt,1.1.1.1
O13309.txt,1.1.1.1
P0DJA2.txt,1.1.1.1
P10848.txt,1.1.1.1
P07246.txt,1.1.1.1
P38113.txt,1.1.1.1
Q5R7Z8.txt,1.1.1.1
Q64437.txt,1.1.1.1
P9WQC1.txt,1.1.1.1
P9WQC6.txt,1.1.1.1
P9WQB9.txt,1.1.1.1
P0A9Q7.txt,1.1.1.1
Q9SK86.txt,1.1.1.1
Q8VZ49.txt,1.1.1.1
Q9FH04.txt,1.1.1.1
O46649.txt,1.1.1.1
Q3ZC42.txt,1.1.1.1
P46415.txt,1.1.1.1
P93629.txt,1.1.1.1
P81431.txt,1.1.1.1
P80572.txt,1.1.1.1
P80467.txt,1.1.1.1
Q9NAR7.txt,1.1.1.1
Q00669.txt,1.1.1.1
Q50L96.txt,1.1.1.1
Q9NG42.txt,1.1.1.1
P51551.txt,1.1.1.1
P21898.txt,1.1.1.1
Q27404.txt,1.1.1.1
Q09010.txt,1.1.1.1
P25721.txt,1.1.1.1
P84328.txt,1.1.1.1
P23277.txt,1.1.1.1
Q9GN94.txt,1.1.1.1
Q03384.txt,1.1.1.1
B4M8Y0.txt,1.1.1.1
P9WQC2.txt,1.1.1.1
P25988.txt,1.1.1.1
Q2FJ31.txt,1.1.1.1
Q5HI63.txt,1.1.1.1
Q6GJ63.txt,1.1.1.1
P50381.txt,1.1.1.1
P76553.txt,1.1.1.1
A7ZIA4.txt,1.1.1.1
A1A835.txt,1.1.1.1
B1J085.txt,1.1.1.1
Q1RFI7.txt,1.1.1.1
Q3Z550.txt,1.1.1.1
N4WE73.txt,1.1.1.1
P33010.txt,1.1.1.1
Q6AZW2.txt,1.1.1.2
Q04894.txt,1.1.1.2
P0CH37.txt,1.1.1.2
P9WQC5.txt,1.1.1.2
Q5ZK84.txt,1.1.1.2
Q9JII6.txt,1.1.1.2
P51635.txt,1.1.1.2
Q9UUN9.txt,1.1.1.2
Q46856.txt,1.1.1.2
P00561.txt,1.1.1.3
Q9SA18.txt,1.1.1.3
Q89AR4.txt,1.1.1.3
P19582.txt,1.1.1.3
Q9ZL20.txt,1.1.1.3
P52985.txt,1.1.1.3
P63630.txt,1.1.1.3
P9WPX1.txt,1.1.1.3
P52986.txt,1.1.1.3
Q5XIZ6.txt,1.1.1.8
Q5R5V3.txt,1.1.1.8
Q6FN96.txt,1.1.1.8
Q9HGY2.txt,1.1.1.8
Q09845.txt,1.1.1.8
P52425.txt,1.1.1.8
O97463.txt,1.1.1.8
P21695.txt,1.1.1.8
P13707.txt,1.1.1.8
P08507.txt,1.1.1.8
P90593.txt,1.1.1.8
Q9S785.txt,1.1.1.8
Q65X70.txt,1.1.1.8
Q4PNS1.txt,1.1.1.8
Q7ZA45.txt,1.1.1.8
Q7ZA43.txt,1.1.1.8
P35497.txt,1.1.1.9
Q9FJ95.txt,1.1.1.9
Q64442.txt,1.1.1.9
P27867.txt,1.1.1.9
A1CFY8.txt,1.1.1.9
A2QY54.txt,1.1.1.9
Q0CWQ2.txt,1.1.1.9
P22144.txt,1.1.1.9
Q8U7Y1.txt,1.1.1.9
Q92MT4.txt,1.1.1.9
Q5E1G4.txt,1.1.1.17
B0BRV5.txt,1.1.1.17
Q6UQ76.txt,1.1.1.17
A1C6B4.txt,1.1.1.17
A2QD49.txt,1.1.1.17
Q0CXS6.txt,1.1.1.17
P42957.txt,1.1.1.17
B8D8D5.txt,1.1.1.17
B8D892.txt,1.1.1.17
Q2H2D7.txt,1.1.1.17
A7MNE5.txt,1.1.1.17
B7MFG0.txt,1.1.1.17
B5YW99.txt,1.1.1.17
B7M3M7.txt,1.1.1.17
A8A660.txt,1.1.1.17
P09424.txt,1.1.1.17
B1LK35.txt,1.1.1.17
B2VCH7.txt,1.1.1.17
Q5KYK6.txt,1.1.1.17
B5XMV6.txt,1.1.1.17
B3WBT3.txt,1.1.1.17
Q033G3.txt,1.1.1.17
Q6AHH7.txt,1.1.1.17
L7IBL2.txt,1.1.1.17
P78008.txt,1.1.1.17
Q7SA44.txt,1.1.1.17
Q874B3.txt,1.1.1.17
C6DII4.txt,1.1.1.17
Q6LKE5.txt,1.1.1.17
B5FLG3.txt,1.1.1.17
B4T977.txt,1.1.1.17
A9MVI4.txt,1.1.1.17
Q8Z2E0.txt,1.1.1.17
A8G7U3.txt,1.1.1.17
Q83PQ0.txt,1.1.1.17
A7X522.txt,1.1.1.17
Q2FW96.txt,1.1.1.17
Q9RL68.txt,1.1.1.17
P99140.txt,1.1.1.17
A8YYC5.txt,1.1.1.17
Q4L9Y4.txt,1.1.1.17
Q04M75.txt,1.1.1.17
B1I9J3.txt,1.1.1.17
B2ILU3.txt,1.1.1.17
B6QP49.txt,1.1.1.17
C4L8P4.txt,1.1.1.17
Q9KKQ6.txt,1.1.1.17
Q8DEF5.txt,1.1.1.17
A7FP92.txt,1.1.1.17
A4TGP0.txt,1.1.1.17
A1T235.txt,1.1.1.18
A1TC97.txt,1.1.1.18
A4FIQ1.txt,1.1.1.18
A5G0Y2.txt,1.1.1.18
Q9KAH1.txt,1.1.1.18
Q65D06.txt,1.1.1.18
C5BYN4.txt,1.1.1.18
B1K045.txt,1.1.1.18
Q39H98.txt,1.1.1.18
A3PRX7.txt,1.1.1.18
A4QAF9.txt,1.1.1.18
B2VJP4.txt,1.1.1.18
B5Y2S5.txt,1.1.1.18
Q88S38.txt,1.1.1.18
A0R191.txt,1.1.1.18
B8HDD2.txt,1.1.1.18
Q87ZD5.txt,1.1.1.18
A9WKW2.txt,1.1.1.18
Q1AV95.txt,1.1.1.18
Q82NQ8.txt,1.1.1.18
A1JSK7.txt,1.1.1.18
D4GYH5.txt,1.1.1.22
O33952.txt,1.1.1.22
Q7DBF9.txt,1.1.1.22
Q92GB1.txt,1.1.1.22
Q68VX0.txt,1.1.1.22
Q57346.txt,1.1.1.22
P0C0F4.txt,1.1.1.22
Q96558.txt,1.1.1.22
Q9LF33.txt,1.1.1.22
Q2QS14.txt,1.1.1.22
Q19905.txt,1.1.1.22
O60701.txt,1.1.1.22
O70199.txt,1.1.1.22
O74712.txt,1.1.1.23
P45353.txt,1.1.1.23
Q9C5U8.txt,1.1.1.23
Q3MEV7.txt,1.1.1.23
Q6FEC8.txt,1.1.1.23
Q5WDH8.txt,1.1.1.23
O30027.txt,1.1.1.23
Q81T62.txt,1.1.1.23
Q63DX2.txt,1.1.1.23
Q6HLE7.txt,1.1.1.23
Q492K3.txt,1.1.1.23
Q7VSZ1.txt,1.1.1.23
Q2YPB8.txt,1.1.1.23
Q8G2R2.txt,1.1.1.23
P59398.txt,1.1.1.23
Q9RQ85.txt,1.1.1.23
Q62GD9.txt,1.1.1.23
Q8R882.txt,1.1.1.23
Q3AR25.txt,1.1.1.23
Q7P0F6.txt,1.1.1.23
P60858.txt,1.1.1.23
Q4JW59.txt,1.1.1.23
Q47AL5.txt,1.1.1.23
Q9RSI4.txt,1.1.1.23
Q8X8T3.txt,1.1.1.23
Q5KVC6.txt,1.1.1.23
Q7NL02.txt,1.1.1.23
P44001.txt,1.1.1.23
Q7VFF5.txt,1.1.1.23
Q5QWP8.txt,1.1.1.23
Q5X5W9.txt,1.1.1.23
Q6AE76.txt,1.1.1.23
P62458.txt,1.1.1.23
Q722Y3.txt,1.1.1.23
Q8TL41.txt,1.1.1.23
Q58851.txt,1.1.1.23
P60862.txt,1.1.1.23
P63951.txt,1.1.1.23
P28736.txt,1.1.1.23
Q3IQR5.txt,1.1.1.23
Q9JYH8.txt,1.1.1.23
Q3J7H1.txt,1.1.1.23
Q8ESR8.txt,1.1.1.23
Q7U8K7.txt,1.1.1.23
Q4FNE2.txt,1.1.1.23
Q318Q4.txt,1.1.1.23
Q7V004.txt,1.1.1.23
Q9HVW9.txt,1.1.1.23
P59400.txt,1.1.1.23
Q4ZNV9.txt,1.1.1.23
O59626.txt,1.1.1.23
Q92S26.txt,1.1.1.23
Q2RQM7.txt,1.1.1.23
Q8Z5K0.txt,1.1.1.23
Q8EFB1.txt,1.1.1.23
