protein,EC
P07327,1.1.1.1
P07327,1.1.1.1
P07327,1.1.1.1
P25405,1.1.1.1
P25405,1.1.1.1
P25405,1.1.1.1
P00326,1.1.1.1
P00326,1.1.1.1
P00326,1.1.1.1
P80222,1.1.1.1
P80222,1.1.1.1
P80222,1.1.1.1
P06525,1.1.1.1
P06525,1.1.1.1
P06525,1.1.1.1
P43067,1.1.1.1
P43067,1.1.1.1
P43067,1.1.1.1
P48814,1.1.1.1
P48814,1.1.1.1
P48814,1.1.1.1
P86883,1.1.1.1
P86883,1.1.1.1
P86883,1.1.1.1
P48586,1.1.1.1
P48586,1.1.1.1
P48586,1.1.1.1
P07161,1.1.1.1
P07161,1.1.1.1
P07161,1.1.1.1
A0A165,1.1.1.1
A0A165,1.1.1.1
A0A165,1.1.1.1
Q64413,1.1.1.1
Q64413,1.1.1.1
Q64413,1.1.1.1
P05336,1.1.1.1
P05336,1.1.1.1
P05336,1.1.1.1
P00333,1.1.1.1
P00333,1.1.1.1
P00333,1.1.1.1
P80512,1.1.1.1
P80512,1.1.1.1
P80512,1.1.1.1
Q2R8Z5,1.1.1.1
Q2R8Z5,1.1.1.1
Q2R8Z5,1.1.1.1
P41680,1.1.1.1
P41680,1.1.1.1
P41680,1.1.1.1
Q03505,1.1.1.1
Q03505,1.1.1.1
Q03505,1.1.1.1
P80338,1.1.1.1
P80338,1.1.1.1
P80338,1.1.1.1
Q07264,1.1.1.1
Q07264,1.1.1.1
Q07264,1.1.1.1
O94038,1.1.1.1
O94038,1.1.1.1
O94038,1.1.1.1
Q70UP6,1.1.1.1
Q70UP6,1.1.1.1
Q70UP6,1.1.1.1
P23237,1.1.1.1
P23237,1.1.1.1
P23237,1.1.1.1
P07160,1.1.1.1
P07160,1.1.1.1
P07160,1.1.1.1
P54202,1.1.1.1
P54202,1.1.1.1
P54202,1.1.1.1
P10847,1.1.1.1
P10847,1.1.1.1
P10847,1.1.1.1
P04707,1.1.1.1
P04707,1.1.1.1
P04707,1.1.1.1
O13309,1.1.1.1
O13309,1.1.1.1
O13309,1.1.1.1
F2Z678,1.1.1.1
F2Z678,1.1.1.1
F2Z678,1.1.1.1
P0DJA2,1.1.1.1
P0DJA2,1.1.1.1
P0DJA2,1.1.1.1
P10848,1.1.1.1
P10848,1.1.1.1
P10848,1.1.1.1
P07246,1.1.1.1
P07246,1.1.1.1
P07246,1.1.1.1
A6ZTT5,1.1.1.1
A6ZTT5,1.1.1.1
A6ZTT5,1.1.1.1
P38113,1.1.1.1
P38113,1.1.1.1
P38113,1.1.1.1
Q5R7Z8,1.1.1.1
Q5R7Z8,1.1.1.1
Q5R7Z8,1.1.1.1
Q64437,1.1.1.1
Q64437,1.1.1.1
Q64437,1.1.1.1
P9WQC1,1.1.1.1
P9WQC1,1.1.1.1
P9WQC1,1.1.1.1
P9WQC6,1.1.1.1
P9WQC6,1.1.1.1
P9WQC6,1.1.1.1
P9WQB9,1.1.1.1
P9WQB9,1.1.1.1
P9WQB9,1.1.1.1
P0A9Q7,1.1.1.1
P0A9Q7,1.1.1.1
P0A9Q7,1.1.1.1
Q9SK86,1.1.1.1
Q9SK86,1.1.1.1
Q9SK86,1.1.1.1
Q8VZ49,1.1.1.1
Q8VZ49,1.1.1.1
Q8VZ49,1.1.1.1
Q9FH04,1.1.1.1
Q9FH04,1.1.1.1
Q9FH04,1.1.1.1
O46649,1.1.1.1
O46649,1.1.1.1
O46649,1.1.1.1
Q3ZC42,1.1.1.1
Q3ZC42,1.1.1.1
Q3ZC42,1.1.1.1
P46415,1.1.1.1
P46415,1.1.1.1
P46415,1.1.1.1
P93629,1.1.1.1
P93629,1.1.1.1
P93629,1.1.1.1
P81431,1.1.1.1
P81431,1.1.1.1
P81431,1.1.1.1
P80572,1.1.1.1
P80572,1.1.1.1
P80572,1.1.1.1
P80467,1.1.1.1
P80467,1.1.1.1
P80467,1.1.1.1
Q9NAR7,1.1.1.1
Q9NAR7,1.1.1.1
Q9NAR7,1.1.1.1
Q00669,1.1.1.1
Q00669,1.1.1.1
Q00669,1.1.1.1
Q50L96,1.1.1.1
Q50L96,1.1.1.1
Q50L96,1.1.1.1
Q9NG42,1.1.1.1
Q9NG42,1.1.1.1
Q9NG42,1.1.1.1
P51551,1.1.1.1
P51551,1.1.1.1
P51551,1.1.1.1
P21898,1.1.1.1
P21898,1.1.1.1
P21898,1.1.1.1
Q27404,1.1.1.1
Q27404,1.1.1.1
Q27404,1.1.1.1
Q09010,1.1.1.1
Q09010,1.1.1.1
Q09010,1.1.1.1
P25721,1.1.1.1
P25721,1.1.1.1
P25721,1.1.1.1
P84328,1.1.1.1
P84328,1.1.1.1
P84328,1.1.1.1
P23277,1.1.1.1
P23277,1.1.1.1
P23277,1.1.1.1
Q9GN94,1.1.1.1
Q9GN94,1.1.1.1
Q9GN94,1.1.1.1
Q03384,1.1.1.1
Q03384,1.1.1.1
Q03384,1.1.1.1
B4M8Y0,1.1.1.1
B4M8Y0,1.1.1.1
B4M8Y0,1.1.1.1
P17648,1.1.1.1
P17648,1.1.1.1
P17648,1.1.1.1
P9WQC2,1.1.1.1
P9WQC2,1.1.1.1
P9WQC2,1.1.1.1
P25988,1.1.1.1
P25988,1.1.1.1
P25988,1.1.1.1
Q2FJ31,1.1.1.1
Q2FJ31,1.1.1.1
Q2FJ31,1.1.1.1
Q5HI63,1.1.1.1
Q5HI63,1.1.1.1
Q5HI63,1.1.1.1
Q6GJ63,1.1.1.1
