protein,EC
Q9UXF1,1.1.1.1
P50381,1.1.1.1
Q76HN6,1.1.1.1
B2KJ46,1.1.1.1
P39462,1.1.1.1
P00326,1.1.1.1
Q0PH30,1.1.1.1
P08319,1.1.1.1
Q6RS93,1.1.1.1
Q9HIM3,1.1.1.1
B2ZRE3,1.1.1.1
B6UQD0,1.1.1.1
A4IP64,1.1.1.1
Q9QYY9,1.1.1.1
P00330,1.1.1.1
P00327,1.1.1.1
P42328,1.1.1.1
P00331,1.1.1.1
B8QU18,1.1.1.1
Q4J702,1.1.1.1
Q4J9F2,1.1.1.1
Q9ZT38,1.1.1.1
Q1G151,1.1.1.1
H9ZGN0,1.1.1.1
P86883,1.1.1.1
P86884,1.1.1.1
Q9Y9P9,1.1.1.1
D4GSN2,1.1.1.1
B0KBL1,1.1.1.1
B0KBJ9,1.1.1.1
G3FFC9,1.1.1.1
V9SDP6,1.1.1.1
V9SCJ1,1.1.1.1
V9SFA1,1.1.1.1
Q96XE0,1.1.1.1
P0DJA2,1.1.1.1
Q8GIX7,1.1.1.1
Q8TZM9,1.1.1.1
A3DCI2,1.1.1.1
Q9CEN0,1.1.1.1
Q5M4K4,1.1.1.1
I3VSF1,1.1.1.1
B0K3U7,1.1.1.1
Q5JI09,1.1.1.1
W6CX26,1.1.1.1
B0K4A2,1.1.1.1
C7R702,1.1.1.1
Q8KLT9,1.1.1.1
W8VSK8,1.1.1.1
C7IV28,1.1.1.1
Q70YJ9,1.1.1.1
A0A060TBM3,1.1.1.1
A3MVR8,1.1.1.1
A0A1D8PP43,1.1.1.1
E7FHL9,1.1.1.1
A0A075B5H4,1.1.1.1
A0A1D3TV27,1.1.1.1
G2I689,1.1.1.1
A0A380WRS7,1.1.1.1
P06525,1.1.1.1
P74721,1.1.1.1
A0A0U5FNC1,1.1.1.1
A0A3T0KHC6,1.1.1.1
Q1RS84,1.1.1.1
P0A9Q7,1.1.1.1
P28625,1.1.1.1
Q8NK50,1.1.1.10
Q21929,1.1.1.10
A0A0M4UR95,1.1.1.10
A0A0E3ZP28,1.1.1.10
Q7SD67,1.1.1.10
A5HIF6,1.1.1.100
Q31QF3,1.1.1.100
P9WGT3,1.1.1.100
O53665,1.1.1.100
Q965D6,1.1.1.100
Q949M3,1.1.1.100
P0AEK2,1.1.1.100
P50941,1.1.1.100
O54438,1.1.1.100
P14697,1.1.1.100
Q92506,1.1.1.100
P35731,1.1.1.100
A0R723,1.1.1.100
Q9HV22,1.1.1.100
A0A3S9VMC7,1.1.1.100
Q2FZ53,1.1.1.100
S4SCP5,1.1.1.102
O58389,1.1.1.103
Q5JI69,1.1.1.103
E5RQ20,1.1.1.103
E3PS87,1.1.1.103
P07913,1.1.1.103
Q7YW97,1.1.1.103
D3ZN15,1.1.1.103
Q97BK3,1.1.1.103
D6PBM7,1.1.1.103
Q8N3Y7,1.1.1.105
Q8VIJ7,1.1.1.105
O75452,1.1.1.105
O75462,1.1.1.105
C3TWL9,1.1.1.105
C7R702,1.1.1.105
A0A0A7HGC7,1.1.1.105
A0A0A7HFB2,1.1.1.105
A0A0A7HFH3,1.1.1.105
F6WB20,1.1.1.105
Q7KNR7,1.1.1.105
Q7TQA3,1.1.1.105
Q05A13,1.1.1.105
Q988B7,1.1.1.107
Q9HTH8,1.1.1.108
D7UNT2,1.1.1.108
Q308C1,1.1.1.11
A0A2K9VPX3,1.1.1.11
P38115,1.1.1.117
Q96ZY7,1.1.1.119
Q96ZY1,1.1.1.119
A2QAC0,1.1.1.12
Q96V44,1.1.1.12
B6HI95,1.1.1.12
C5J3R8,1.1.1.12
Q7SI09,1.1.1.12
A0A1B4XTS0,1.1.1.12
H6WCP4,1.1.1.12
Q5SLC4,1.1.1.121
P11759,1.1.1.132
A4ZZ81,1.1.1.132
E3VXL5,1.1.1.133
D4GU71,1.1.1.133
A0A6L7H7R4,1.1.1.133
Q99714,1.1.1.135
A7GKX6,1.1.1.136
P0C0Y4,1.1.1.138
Q1ACW3,1.1.1.138
A5VMM4,1.1.1.138
Q9KWR5,1.1.1.14
Q5I6M4,1.1.1.14
Q5I6M3,1.1.1.14
Q00796,1.1.1.14
P35497,1.1.1.14
Q07786,1.1.1.14
Q1J2J0,1.1.1.14
Q5FNX9,1.1.1.14
Q6L5U3,1.1.1.140
A7BGM9,1.1.1.140
G3FZ80,1.1.1.140
A0A0S1TQ28,1.1.1.140
A0A0S1TS61,1.1.1.140
A0A0S1TRT1,1.1.1.140
A0A0S1TLT7,1.1.1.140
A0A0S1TRV4,1.1.1.140
A0A0S1TRG0,1.1.1.140
D4I194,1.1.1.140
P15428,1.1.1.141
E2QX67,1.1.1.141
A0A6G5RUH8,1.1.1.144
P22071,1.1.1.145
P9WQP7,1.1.1.145
O35469,1.1.1.145
A0A345GNZ1,1.1.1.145
P16232,1.1.1.146
P50168,1.1.1.146
P51975,1.1.1.146
A0A1B0GWP2,1.1.1.146
R4GN04,1.1.1.146
Q6P0H9,1.1.1.146
P50233,1.1.1.146
Q04828,1.1.1.149
Q8K023,1.1.1.149
D0VDT4,1.1.1.149
A7A7R9,1.1.1.149
Q91WT7,1.1.1.149
Q89FN7,1.1.1.15
Q17QK8,1.1.1.153
Q64105,1.1.1.153
P35270,1.1.1.153
A0A172EJV6,1.1.1.153
P18297,1.1.1.153
A4YDS4,1.1.1.157
A0A0E3GR61,1.1.1.157
P0AET8,1.1.1.159
G9FRD7,1.1.1.159
S5U393,1.1.1.159
Q1MLL4,1.1.1.16
B9WJQ5,1.1.1.168
H8XA83,1.1.1.168
P0A9J4,1.1.1.169
Q5JGC2,1.1.1.169
E3USM3,1.1.1.169
A0A0J9X283,1.1.1.169
Q4X1A4,1.1.1.17
C7FDI4,1.1.1.17
O96437,1.1.1.17
Q0U6E8,1.1.1.17
D8LI09,1.1.1.17
D7FMJ8,1.1.1.17
D7G793,1.1.1.17
P09424,1.1.1.17
Q6FBP5,1.1.1.17
D0C7J2,1.1.1.17
I3E3X0,1.1.1.17
A0A0U4Y4V3,1.1.1.17
Q5B0F5,1.1.1.17
A8YYC5,1.1.1.17
Q9R1J0,1.1.1.170
Q15738,1.1.1.170
P53199,1.1.1.170
Q5A1B0,1.1.1.170
B8H1Z0,1.1.1.175
B6FYX7,1.1.1.176
C0BWQ2,1.1.1.176
R7AM69,1.1.1.176
Q99714,1.1.1.178
A8BT09,1.1.1.179
Q9TQS6,1.1.1.179
Q5UY95,1.1.1.179
D4GP30,1.1.1.179
E1U887,1.1.1.18
E1U888,1.1.1.18
Q5KYQ3,1.1.1.18
Q8NTY7,1.1.1.18
B2NI94,1.1.1.183
K9S1J6,1.1.1.183
K9RZL7,1.1.1.183
K9S0X0,1.1.1.183
I3WEV0,1.1.1.183
P27250,1.1.1.183
A0A0E4B3N6,1.1.1.183
B2KJ46,1.1.1.184
B2GV72,1.1.1.184
A1X808,1.1.1.184
Q28960,1.1.1.184
A3GF07,1.1.1.184
Q8WNV7,1.1.1.184
Q5FQJ0,1.1.1.184
Q9X265,1.1.1.184
Q7S3U4,1.1.1.184
F1N8Y3,1.1.1.184
Q5FT75,1.1.1.184
E3W861,1.1.1.184
A0A0E4AY21,1.1.1.184
A0A0E4AX59,1.1.1.184
J9P7P2,1.1.1.184
Q9Y8Y1,1.1.1.184
F1N9C1,1.1.1.184
P48758,1.1.1.184
M4VRJ6,1.1.1.184
Q8K354,1.1.1.184
P42330,1.1.1.188
E2IGW3,1.1.1.188
P16116,1.1.1.188
P22045,1.1.1.188
Q4DJ07,1.1.1.188
Q4E4V7,1.1.1.188
V5BT91,1.1.1.188
Q9D5U2,1.1.1.188
A0A3P3ZE14,1.1.1.188
Q28960,1.1.1.189
A0A0G4NUS2,1.1.1.19
A4IP64,1.1.1.192
A4ISB9,1.1.1.192
Q2VCF5,1.1.1.193
P17618,1.1.1.193
P25539,1.1.1.193
D0CB74,1.1.1.193
M5AJW4,1.1.1.194
B7U3W7,1.1.1.195
C5XC49,1.1.1.195
D7PGW0,1.1.1.195
Q02971,1.1.1.195
Q0JA75,1.1.1.195
J7FTC5,1.1.1.195
B6U7D8,1.1.1.195
B5TR18,1.1.1.195
E2DIF4,1.1.1.195
E2DIF5,1.1.1.195
D0ITF8,1.1.1.195
F6L7F4,1.1.1.195
G4VV62,1.1.1.195
F6L7F5,1.1.1.195
E5F5P7,1.1.1.195
I1HY48,1.1.1.195
B5AR58,1.1.1.195
T1SEV0,1.1.1.195
T1SEU9,1.1.1.195
T1WW82,1.1.1.195
T1WUU2,1.1.1.195
T1WVG5,1.1.1.195
T1WWB9,1.1.1.195
T1WWR8,1.1.1.195
A0A023RBJ1,1.1.1.195
T1WW77,1.1.1.195
T1WUT6,1.1.1.195
A0A072UJB3,1.1.1.195
D9ZKR7,1.1.1.195
A0A0U1ZF25,1.1.1.195
U3TI46,1.1.1.195
A0A1D6BJ11,1.1.1.195
U3TH11,1.1.1.195
U3TDQ6,1.1.1.195
G3DSC5,1.1.1.195
A0A0P0VFU1,1.1.1.195
A0A2Z5D8A5,1.1.1.195
Q6ZHS4,1.1.1.195
Q7XWU3,1.1.1.195
K4N0V2,1.1.1.198
E5DD06,1.1.1.198
A0A1B3EB36,1.1.1.198
A0A191ZDL6,1.1.1.198
C1IWT4,1.1.1.2
A4ISB9,1.1.1.2
P50578,1.1.1.2
P14941,1.1.1.2
P35630,1.1.1.2
P14550,1.1.1.2
P07943,1.1.1.2
O73949,1.1.1.2
Q8ZUP0,1.1.1.2
B0K3U7,1.1.1.2
B0KB53,1.1.1.2
A1R6C3,1.1.1.2
P51635,1.1.1.2
U6CL97,1.1.1.2
F8S123,1.1.1.2
A3GHR6,1.1.1.2
A3GHL4,1.1.1.2
Q46856,1.1.1.2
A0A125SUY5,1.1.1.2
A0A0Q2QQL1,1.1.1.2
