EC,reaction
1.1.1.1,a primary alcohol + NAD+ = an aldehyde + NADH + H+
1.1.1.1,a secondary alcohol + NAD+ = a ketone + NADH + H+ 
1.1.1.10,xylitol + NADP+ = L-xylulose + NADPH + H+
1.1.1.100,a (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ = a  3-oxoacyl-[acyl-carrier protein] + NADPH + H+
1.1.1.101,1-palmitoylglycerol 3-phosphate + NADP+ = palmitoylglycerone phosphate  + NADPH + H+ 
1.1.1.102,sphinganine + NADP+ = 3-dehydrosphinganine + NADPH + H+ 
1.1.1.103,L-threonine + NAD+ = L-2-amino-3-oxobutanoate + NADH + H+
1.1.1.104,4-hydroxy-L-proline + NAD+ = 4-oxoproline + NADH + H+ 
1.1.1.105,all-trans-retinol-[cellular-retinol-binding-protein] + NAD+ =  all-trans-retinal-[cellular-retinol-binding-protein] + NADH + H+ 
1.1.1.106,(R)-pantoate + NAD+ = (R)-4-dehydropantoate + NADH + H+ 
1.1.1.107,pyridoxal + NAD+ = 4-pyridoxolactone + NADH + H+ 
1.1.1.108,carnitine + NAD+ = 3-dehydrocarnitine + NADH + H+ 
1.1.1.11,D-arabinitol + NAD+ = D-xylulose + NADH + H+ 
1.1.1.110,(R)-(indol-3-yl)lactate + NAD+ = (indol-3-yl)pyruvate + NADH + H+
1.1.1.110,(R)-3-(4-hydroxyphenyl)lactate + NAD+ = 3-(4-hydroxyphenyl)pyruvate +  NADH + H+ 
1.1.1.111,(S)-3-(imidazol-5-yl)lactate + NAD(P)+ = 3-(imidazol-5-yl)pyruvate +  NAD(P)H + H+ 
1.1.1.112,indan-1-ol + NAD(P)+ = indanone + NAD(P)H + H+
1.1.1.113,"L-xylose + NADP+ = L-xylono-1,4-lactone + NADPH + H+ "
1.1.1.114,D-apiitol + NAD+ = D-apiose + NADH + H+ 
1.1.1.115,D-ribose + NADP+ + H2O = D-ribonate + NADPH + H+ 
1.1.1.116,"D-arabinose + NAD+ = D-arabinono-1,4-lactone + NADH + H+ "
1.1.1.117,"D-arabinose + NAD(P)+ = D-arabinono-1,4-lactone + NAD(P)H + H+ "
1.1.1.118,"D-glucose + NAD+ = D-glucono-1,5-lactone + NADH + H+ "
1.1.1.119,"D-glucose + NADP+ = D-glucono-1,5-lactone + NADPH + H+ "
1.1.1.12,L-arabinitol + NAD+ = L-xylulose + NADH + H+ 
1.1.1.120,"D-galactose + NADP+ = D-galactono-1,5-lactone + NADPH + H+ "
1.1.1.121,D-aldose + NAD+ = D-aldonolactone + NADH + H+
1.1.1.122,"a D-threo-aldose + NAD+ = a D-threo-aldono-1,5-lactone + NADH + H+ "
1.1.1.123,L-sorbose + NADP+ = 5-dehydro-D-fructose + NADPH + H+ 
1.1.1.124,D-fructose + NADP+ = 5-dehydro-D-fructose + NADPH + H+ 
1.1.1.125,2-deoxy-D-gluconate + NAD+ = 3-dehydro-2-deoxy-D-gluconate + NADH + H+ 
1.1.1.126,"2-dehydro-3-deoxy-D-gluconate + NADP+ =  (4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate + NADPH + H+ "
1.1.1.127,"2-dehydro-3-deoxy-D-gluconate + NAD+ =  (4S)-4,6-dihydroxy-2,5-dioxohexanoate + NADH + H+ "
1.1.1.129,L-threonate + NAD+ = 3-dehydro-L-erythronate + NADH + H+ 
1.1.1.13,L-arabinitol + NAD+ = L-ribulose + NADH + H+ 
1.1.1.130,"3-dehydro-L-gulonate + NAD(P)+ =  (4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate + NAD(P)H + H+ "
1.1.1.131,D-mannonate + NAD(P)+ = D-mannuronate + NAD(P)H + H+ 
1.1.1.132,GDP-D-mannose + 2 NAD+ + H2O = GDP-D-mannuronate + 2 NADH + 2 H+
1.1.1.133,dTDP-beta-L-rhamnose + NADP+ = dTDP-4-dehydro-beta-L-rhamnose + NADPH +  H+ 
1.1.1.134,dTDP-6-deoxy-beta-L-talose + NADP+ = dTDP-4-dehydro-beta-L-rhamnose +  NADPH + H+ 
1.1.1.135,GDP-6-deoxy-alpha-D-talose + NAD(P)+ = GDP-4-dehydro-alpha-D-rhamnose +  NAD(P)H + H+ 
1.1.1.136,UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O =  UDP-2-acetamido-2-deoxy-alpha-D-glucuronate + 2 NADH + 2 H+ 
1.1.1.137,D-ribitol 5-phosphate + NAD(P)+ = D-ribulose 5-phosphate + NAD(P)H + H+ 
1.1.1.138,D-mannitol + NADP+ = D-fructose + NADPH + H+
1.1.1.14,L-iditol + NAD+ = L-sorbose + NADH + H+
1.1.1.140,D-sorbitol 6-phosphate + NAD+ = D-fructose 6-phosphate + NADH + H+ 
1.1.1.141,"(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprost-5,13-dienoate + NAD+ =  (5Z,13E)-11alpha-hydroxy-9,15-dioxoprost-5,13-dienoate + NADH + H+"
1.1.1.142,"1D-3-O-methyl-chiro-inositol + NADP+ =  2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone + NADPH + H+ "
1.1.1.143,"5-O-methyl-myo-inositol + NAD+ =  2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone + NADH + H+ "
1.1.1.144,perillyl alcohol + NAD+ = perillyl aldehyde + NADH + H+ 
1.1.1.145,a 3beta-hydroxy-DELTA5-steroid + NAD+ = a 3-oxo-DELTA5-steroid + NADH +  H+
1.1.1.146,an 11beta-hydroxysteroid + NADP+ = an 11-oxosteroid + NADPH + H+ 
1.1.1.147,a 16alpha-hydroxysteroid + NAD(P)+ = a 16-oxosteroid + NAD(P)H + H+ 
1.1.1.148,estradiol-17alpha + NAD(P)+ = estrone + NAD(P)H + H+ 
1.1.1.149,"17alpha,20alpha-dihydroxypregn-4-en-3-one + NAD(P)+ =  17alpha-hydroxyprogesterone + NAD(P)H + H+"
1.1.1.15,D-iditol + NAD+ = D-sorbose + NADH + H+ 
1.1.1.150,pregnan-21-ol + NAD+ = pregnan-21-al + NADH + H+ 
1.1.1.151,pregnan-21-ol + NADP+ = pregnan-21-al + NADPH + H+ 
1.1.1.152,"3alpha-hydroxy-5beta-androstane-17-one + NAD+ =  5beta-androstane-3,17-dione + NADH + H+ "
1.1.1.153,"L-erythro-7,8-dihydrobiopterin + NADP+ = sepiapterin + NADPH + H+"
1.1.1.153,"L-erythro-tetrahydrobiopterin + 2 NADP+ =  6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 NADPH + 2 H+ "
1.1.1.154,(S)-ureidoglycolate + NAD(P)+ = oxalureate + NAD(P)H + H+ 
1.1.1.156,glycerol + NADP+ = glycerone + NADPH + H+ 
1.1.1.157,(S)-3-hydroxybutanoyl-CoA + NADP+ = 3-acetoacetyl-CoA + NADPH + H+ 
1.1.1.159,"cholate + NAD+ = 3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate +  NADH + H+"
1.1.1.16,galactitol + NAD+ = D-tagatose + NADH + H+ 
1.1.1.160,"(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,3  4-tetrahydro-1-naphthol + NADP+ =  (+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-3  4-dihydro-1(2H)-naphthalenone + NADPH + H+ "
1.1.1.162,D-threitol + NADP+ = D-erythrulose + NADPH + H+
1.1.1.163,cyclopentanol + NAD+ = cyclopentanone + NADH + H+ 
1.1.1.164,hexadecanol + NAD+ = hexadecanal + NADH + H+ 
1.1.1.165,"2-butyne-1,4-diol + NAD+ = 4-hydroxy-2-butynal + NADH + H+ "
1.1.1.166,"(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate + NAD+ =  (1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate + NADH + H+ "
1.1.1.167,hydroxymalonate + NAD+ = oxomalonate + NADH + H+ 
