protein,EC
Q8NEB5,3.1.3.81
G7H7Y1,3.4.11.19
A0A125QZE2,1.14.14.67
P00884,4.1.2.13
A0A5F9CII4,2.6.1.13
I3QNT2,3.5.1.24
P41636,6.2.1.12
A0A0G4QKE4,3.1.3.8
Q57764,4.1.1.19
B3VKV0,1.2.1.44
Q2P9V0,3.6.1.1
Q1J2J0,1.1.1.14
Q96PU5,2.3.2.26
Q3KN75,1.17.1.3
K4L7X3,3.13.1.4
P0A9L3,5.2.1.8
P11310,1.3.8.7
A4PIB0,1.1.1.215
A8YPP2,3.2.1.15
Q86U44,2.1.1.348
M4NBK1,2.1.1.325
Q8BZA9,3.1.3.46
B6V7E4,1.4.1.4
Q5FJM0,2.1.1.79
A7XW35,2.7.4.1
Q52574,1.14.13.243
Q1HL02,2.7.7.4
P9WPX7,4.2.1.10
D4GT94,3.4.21.105
A0A1L9P8I4,3.2.1.52
P05852,2.3.1.234
P0A0C1,2.7.1.190
A0A193BIJ7,1.14.19.29
A0A2Z5VGM9,3.2.1.96
H2L2L6,3.6.1.1
Q2L653,1.3.7.7
Q9WV54,3.5.1.23
A0A2K9VNZ8,2.6.1.5
A0A182AUG2,3.2.1.58
Q47899,3.4.24.76
A0A166W7U1,5.1.3.19
U3MNX0,6.2.1.12
J9JE46,1.21.98.3
Q8U438,3.6.1.1
Q5H0Y0,4.2.1.11
D0PQ48,1.14.14.107
Q8SBB4,2.1.1.37
Q91VE3,3.4.21.117
F2KPY9,2.4.2.5
D0EG00,5.6.2.1
Q7CU96,4.3.3.7
P0AG18,5.4.99.18
P08037,2.4.1.90
D1MI97,3.2.1.67
F4HXY7,2.7.8.8
P16690,2.7.4.23
P03018,5.6.2.4
Q8MPM3,2.2.1.1
M1JUH6,3.1.1.41
H9Z845,2.5.1.18
Q04512,2.3.1.37
Q6H6P8,2.4.1.18
Q7PXA7,2.1.1.100
U3NEE3,2.1.1.22
Q9I1C2,1.14.14.34
Q9FA01,4.2.2.18
Q9PCF4,1.11.1.28
O22530,1.14.11.9
Q5V6B2,2.7.9.3
A0A0A7RFJ3,1.1.1.237
A0A1B1X3I2,1.3.2.3
K4IH51,3.2.1.32
B8HM76,1.21.98.3
Q1JU72,3.8.1.3
A0A4Y5QZX0,2.5.1.18
Q16KL9,2.3.1.87
D4GPB2,1.1.1.401
Q9VBZ9,2.4.1.133
A0A0U0RRS4,6.3.1.5
Q57W59,2.7.1.82
F2YP46,2.1.1.104
Q5JIJ6,1.2.7.1
E2L8C7,3.2.1.67
P06820,3.2.1.18
T1NXM1,1.14.14.82
A8D008,5.4.2.2
O35826,5.1.3.14
B1VQY7,6.1.1.2
O12158,2.7.7.49
P57990,6.1.1.16
A0A1D6FGI6,4.1.1.53
D9D7K9,3.1.3.8
A6YH48,7.1.1.9
P95001,1.1.1.25
J9Z485,1.14.11.15
P73493,6.3.2.3
Q752P4,3.2.1.26
Q9ZNT0,3.6.4.6
Q46893,2.7.7.60
Q9ZUX7,2.5.1.75
A5U2B7,4.1.99.12
Q336V5,1.20.99.1
A7ME71,2.3.1.241
A0A0C4XY83,3.4.21.63
P16067,4.6.1.2
C1LT16,2.7.2.3
P58255,2.3.1.19
O88484,3.1.3.43
R4MY40,3.4.22.1
Q46220,2.4.2.31
O93876,2.7.12.2
Q07736,3.1.21.3
O09159,3.2.1.24
Q9I0K4,4.1.3.1
D0FL91,4.2.3.6
P46926,3.5.99.6
O54161,3.2.1.55
Q0GU43,1.8.1.12
Q5P5I4,1.1.1.311
Q8L1A3,4.1.99.11
P62140,3.1.3.16
A6MH35,1.4.3.13
Q9LY74,2.1.1.295
O76520,3.4.21.4
O42713,1.14.18.1
Q51978,1.14.12.25
H2KXA2,1.8.5.8
Q65MU7,1.3.3.5
A7E948,3.2.1.4
P29562,3.6.4.13
Q8LDP6,2.7.1.21
Q9AI65,3.2.1.86
C4LZN0,6.1.1.23
Q94FY8,5.5.1.24
P0AB83,4.2.99.18
O65853,1.1.1.42
P9WP65,3.1.4.17
Q14139,2.3.2.27
D9U856,2.3.1.9
P59828,5.1.3.37
A0A5J6DKK9,1.1.1.34
P43428,3.1.3.9
M1PA89,5.4.99.16
X2EXI6,3.5.2.6
A1Z0H6,2.5.1.19
Q5BMR2,3.1.4.4
D1A2H1,3.1.1.101
Q8L840,5.6.2.4
Q6VYQ6,4.2.1.115
A2TEY0,1.5.1.33
F0IMK7,3.4.21.72
A7XFV4,4.2.2.1
K4HXK6,4.1.1.15
Q9SMH9,3.4.22.6
A0A2Z4HQJ0,2.5.1.43
A5YUY2,1.14.13.7
Q9F3C7,1.8.3.7
Q72HS4,2.4.2.2
P40925,1.1.1.37
P21620,1.1.1.205
Q2VEX7,5.5.1.19
A2XAZ3,1.1.1.284
D4GR05,2.7.1.58
Q7Y252,3.2.1.151
P25260,3.1.21.4
Q46E78,5.4.99.58
P32960,5.1.1.10
Q9PPD9,1.9.6.1
A9WCM4,4.2.1.11
L0N807,3.1.26.5
Q8H0N6,5.3.99.6
P22320,1.12.1.2
Q9WZN7,1.11.1.25
B6ZH51,6.5.1.1
Q08877,3.6.5.5
Q9I1H3,6.2.1.68
O87943,4.1.99.11
Q45413,1.14.13.244
F4YCW3,2.7.3.3
L0HLF8,4.1.2.13
O82796,3.1.3.3
D6R1Q1,3.5.1.11
B2KYA4,6.2.1.12
Q0B2H5,5.4.99.17
A0A3R5WSX8,3.1.6.1
P43490,2.4.2.12
F8TW83,1.13.11.66
Q9F118,4.2.1.168
P92981,1.8.4.9
O92810,3.6.1.23
Q9VMC9,3.5.1.9
Q8RR52,3.1.1.4
P50135,2.1.1.8
C8KHM6,2.3.1.199
P38503,2.3.1.8
P49427,2.3.2.24
P46439,2.5.1.18
G8M0G7,4.2.1.10
Q9ZDA0,1.1.1.94
B6Q5I3,3.5.5.1
Q4R0I0,1.23.1.2
I6ZIX7,3.2.1.17
Q2I2N5,2.4.1.5
A8C980,5.4.99.34
Q9I739,3.2.2.5
H9LJF9,1.14.11.62
Q76BL9,1.2.1.12
P05177,1.14.99.38
Q8CVD0,1.3.99.33
Q9BVM4,4.3.2.9
Q94ID1,2.5.1.112
D5G1Y1,1.2.7.4
B4EN77,1.1.1.22
Q2G8F3,3.4.17.13
C6KE75,5.6.2.1
Q27979,1.1.1.315
A3KCL7,1.4.3.1
