name,smile
NAD(+),C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
NADH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
NADP(+),C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
NADPH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
L-homoserine,C(CO)[C@@H](C(=O)O)N
L-aspartate 4-semialdehyde,C(C=O)[C@@H](C(=O)[O-])[NH3+]
"(R,R)-butane-2,3-diol",C[C@H]([C@@H](C)O)O
(R)-acetoin,C[C@H](C(=O)C)O
Glycerol,C(C(CO)O)O
glycerone,C(C(=O)CO)O
sn-glycerol 3-phosphate,C([C@H](COP(=O)(O)O)O)O
glycerone phosphate,C(C(=O)COP(=O)(O)O)O
Xylitol,C([C@H](C([C@H](CO)O)O)O)O
D-xylulose,C([C@H]([C@@H](C(=O)CO)O)O)O
L-xylulose,C([C@@H]([C@H](C(=O)CO)O)O)O
D-arabinitol,C([C@H](C([C@@H](CO)O)O)O)O
L-arabinitol,C([C@@H](C([C@H](CO)O)O)O)O
L-iditol,C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
L-sorbose,C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
