name,smile
NAD+,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
NADH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
H+,[H+]
H+ ,[H+]
xylitol,C([C@H](C([C@H](CO)O)O)O)O
NADP+,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
L-xylulose,C([C@@H]([C@H](C(=O)CO)O)O)O
NADPH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
1-palmitoylglycerol 3-phosphate,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O
palmitoylglycerone phosphate ,CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O
sphinganine,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O
3-dehydrosphinganine,CCCCCCCCCCCCCCCC(=O)[C@H](CO)N
L-threonine,C[C@H]([C@@H](C(=O)O)N)O
L-2-amino-3-oxobutanoate,CC(=O)[C@@H](C(=O)O)N
4-hydroxy-L-proline,C1[C@H](CN[C@@H]1C(=O)O)O
4-oxoproline,C1[C@H](NCC1=O)C(=O)O
(R)-pantoate,CC(C)(CO)[C@H](C(=O)[O-])O
(R)-4-dehydropantoate,CC(C)(C=O)[C@H](C(=O)O)O
