name,smile
NAD+,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
NADH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
H+ ,[H+]
xylitol,C([C@H](C([C@H](CO)O)O)O)O
NADP+,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
L-xylulose,C([C@@H]([C@H](C(=O)CO)O)O)O
NADPH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
H+,[H+]
sphinganine,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O
3-dehydrosphinganine,CCCCCCCCCCCCCCCC(=O)[C@H](CO)N
L-threonine,C[C@H]([C@@H](C(=O)O)N)O
L-2-amino-3-oxobutanoate,CC(=O)[C@@H](C(=O)O)N
pyridoxal,CC1=NC=C(C(=C1O)C=O)CO
4-pyridoxolactone,CC1=NC=C2COC(=O)C2=C1O
carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
3-dehydrocarnitine,C[N+](C)(C)CC(=O)CC(=O)[O-]
D-arabinitol,C([C@H](C([C@@H](CO)O)O)O)O
D-xylulose,C([C@H]([C@@H](C(=O)CO)O)O)O
